-12	-12	4.6000000e-03
-12	-11	8.5000000e-04
-12	-10	1.0916667e-03
-12	-9	1.1083333e-03
-12	-8	1.2833333e-03
-12	-7	1.2416667e-03
-12	-6	1.2583333e-03
-12	-5	1.1750000e-03
-12	-4	1.2583333e-03
-12	-3	1.1833333e-03
-12	-2	1.4000000e-03
-12	-1	1.3750000e-03
-12	0	1.3500000e-03
-12	1	1.4166667e-03
-12	2	1.3666667e-03
-12	3	1.2833333e-03
-12	4	1.1500000e-03
-12	5	1.3000000e-03
-12	6	1.0083333e-03
-12	7	1.3000000e-03
-12	8	1.2083333e-03
-12	9	1.0583333e-03
-12	10	1.1000000e-03
-12	11	9.0000000e-04
-12	12	5.0000000e-03
-11	-12	8.0000000e-04
-11	-11	2.0000000e-03
-11	-10	1.1583333e-03
-11	-9	1.2750000e-03
-11	-8	1.2583333e-03
-11	-7	1.2500000e-03
-11	-6	1.4416667e-03
-11	-5	1.5333333e-03
-11	-4	1.4750000e-03
-11	-3	1.5666667e-03
-11	-2	1.6083333e-03
-11	-1	1.8500000e-03
-11	0	1.8833333e-03
-11	1	1.5500000e-03
-11	2	1.6916667e-03
-11	3	1.5333333e-03
-11	4	1.4166667e-03
-11	5	1.2583333e-03
-11	6	1.3250000e-03
-11	7	1.2750000e-03
-11	8	1.2750000e-03
-11	9	1.3583333e-03
-11	10	1.3333333e-03
-11	11	1.8750000e-03
-11	12	9.0833333e-04
-10	-12	9.8333333e-04
-10	-11	1.2500000e-03
-10	-10	1.1083333e-03
-10	-9	9.8333333e-04
-10	-8	9.5000000e-04
-10	-7	1.0250000e-03
-10	-6	1.0916667e-03
-10	-5	1.1250000e-03
-10	-4	1.2750000e-03
-10	-3	1.2583333e-03
-10	-2	1.3333333e-03
-10	-1	1.1416667e-03
-10	0	1.3000000e-03
-10	1	1.1583333e-03
-10	2	1.0833333e-03
-10	3	1.2916667e-03
-10	4	1.2166667e-03
-10	5	1.2916667e-03
-10	6	1.0833333e-03
-10	7	9.9166667e-04
-10	8	1.0250000e-03
-10	9	1.0166667e-03
-10	10	1.1083333e-03
-10	11	1.2583333e-03
-10	12	1.0916667e-03
-9	-12	1.0833333e-03
-9	-11	1.4250000e-03
-9	-10	1.1583333e-03
-9	-9	1.0333333e-03
-9	-8	1.0833333e-03
-9	-7	9.8333333e-04
-9	-6	1.0583333e-03
-9	-5	1.3000000e-03
-9	-4	1.1666667e-03
-9	-3	1.1916667e-03
-9	-2	1.3083333e-03
-9	-1	1.4000000e-03
-9	0	1.1750000e-03
-9	1	1.3083333e-03
-9	2	1.2916667e-03
-9	3	1.0333333e-03
-9	4	1.0833333e-03
-9	5	1.3333333e-03
-9	6	1.0833333e-03
-9	7	1.1500000e-03
-9	8	1.0166667e-03
-9	9	1.0166667e-03
-9	10	9.0833333e-04
-9	11	1.3250000e-03
-9	12	9.7500000e-04
-8	-12	1.2000000e-03
-8	-11	1.2000000e-03
-8	-10	9.6666667e-04
-8	-9	1.0416667e-03
-8	-8	1.1000000e-03
-8	-7	1.0000000e-03
-8	-6	1.1500000e-03
-8	-5	1.2583333e-03
-8	-4	1.3250000e-03
-8	-3	1.2916667e-03
-8	-2	1.4666667e-03
-8	-1	1.5250000e-03
-8	0	1.2833333e-03
-8	1	1.2750000e-03
-8	2	1.4583333e-03
-8	3	1.2083333e-03
-8	4	1.1916667e-03
-8	5	1.0750000e-03
-8	6	1.1000000e-03
-8	7	1.0250000e-03
-8	8	1.0166667e-03
-8	9	1.0166667e-03
-8	10	1.1833333e-03
-8	11	1.2916667e-03
-8	12	1.1500000e-03
-7	-12	1.0916667e-03
-7	-11	1.3250000e-03
-7	-10	1.0666667e-03
-7	-9	9.6666667e-04
-7	-8	9.6666667e-04
-7	-7	1.1000000e-03
-7	-6	1.2333333e-03
-7	-5	1.1833333e-03
-7	-4	1.3083333e-03
-7	-3	1.2166667e-03
-7	-2	1.5166667e-03
-7	-1	1.5416667e-03
-7	0	1.6416667e-03
-7	1	1.6583333e-03
-7	2	1.5166667e-03
-7	3	1.5250000e-03
-7	4	1.3750000e-03
-7	5	1.2666667e-03
-7	6	1.1250000e-03
-7	7	9.8333333e-04
-7	8	1.0583333e-03
-7	9	9.6666667e-04
-7	10	9.7500000e-04
-7	11	1.1916667e-03
-7	12	1.1833333e-03
