141 	 691.354 	 0.904 	 217.147
142 	 702.745 	 0.906 	 217.189
143 	 706.452 	 0.907 	 217.417
144 	 707.435 	 0.908 	 217.498
145 	 698.414 	 0.913 	 217.376
146 	 701.095 	 0.916 	 217.777
147 	 714.771 	 0.917 	 218.359
148 	 722.512 	 0.918 	 218.616
149 	 729.136 	 0.919 	 219.014
150 	 733.988 	 0.919 	 219.407
151 	 744.759 	 0.921 	 219.672
152 	 753.557 	 0.921 	 220.367
153 	 763.872 	 0.922 	 221.194
154 	 770.506 	 0.923 	 221.086
155 	 768.961 	 0.923 	 220.967
156 	 770.44 	 0.925 	 221.154
157 	 791.89 	 0.927 	 222.317
158 	 806.278 	 0.928 	 222.658
159 	 827.043 	 0.931 	 223.532
160 	 827.149 	 0.933 	 223.731
161 	 854.892 	 0.935 	 224.724
162 	 885.635 	 0.937 	 225.265
163 	 891.079 	 0.937 	 225.608
164 	 888.41 	 0.939 	 225.705
165 	 896.733 	 0.94 	 225.726
166 	 897.621 	 0.942 	 225.718
167 	 918.179 	 0.944 	 225.448
168 	 923.836 	 0.945 	 225.682
169 	 920.073 	 0.945 	 225.475
170 	 925.815 	 0.946 	 225.394
171 	 925.889 	 0.946 	 225.398
172 	 933.296 	 0.946 	 225.798
173 	 957.283 	 0.947 	 226.45
174 	 982.077 	 0.948 	 227.047
175 	 1005.88 	 0.949 	 227.665
176 	 1013.16 	 0.949 	 228.036
177 	 1016.51 	 0.953 	 227.947
178 	 1027.21 	 0.953 	 228.45
179 	 1038.94 	 0.953 	 229.001
180 	 1056.82 	 0.956 	 229.55
181 	 1073.32 	 0.956 	 230.276
182 	 1108.53 	 0.957 	 231.042
183 	 1091.48 	 0.958 	 231.141
184 	 1096.02 	 0.959 	 231.201
185 	 1110.63 	 0.959 	 231.8
186 	 1114.8 	 0.96 	 232.141
187 	 1131.95 	 0.961 	 231.825
188 	 1129.53 	 0.962 	 231.506
189 	 1166.59 	 0.963 	 232.088
190 	 1171.05 	 0.963 	 232.253
191 	 1139.06 	 0.964 	 232.698
192 	 1152.22 	 0.964 	 233.172
193 	 1145.77 	 0.965 	 233.37
194 	 1134.6 	 0.965 	 232.979
195 	 1125.31 	 0.965 	 232.654
196 	 1135.82 	 0.966 	 232.767
197 	 1166.3 	 0.967 	 233.167
198 	 1174.21 	 0.967 	 233.428
199 	 1150.25 	 0.968 	 233.297
200 	 1160 	 0.968 	 233.609
201 	 1174.88 	 0.968 	 234.085
202 	 1197.62 	 0.968 	 234.813
203 	 1207.12 	 0.968 	 235.117
204 	 1211.12 	 0.968 	 235.245
205 	 1217.94 	 0.968 	 235.463
206 	 1222.25 	 0.968 	 235.601
207 	 1227.81 	 0.968 	 235.779
208 	 1261.65 	 0.969 	 236.297
209 	 1276.65 	 0.969 	 236.762
210 	 1285.65 	 0.969 	 237.041
211 	 1293.68 	 0.969 	 237.29
212 	 1283.84 	 0.969 	 236.985
213 	 1282.58 	 0.969 	 236.946
214 	 1208.2 	 0.97 	 236.781
215 	 1211.87 	 0.97 	 236.891
216 	 1214.1 	 0.971 	 236.889
217 	 1260.5 	 0.972 	 237.032
218 	 1264.57 	 0.972 	 237.146
219 	 1311.04 	 0.973 	 237.348
220 	 1324.2 	 0.975 	 237.485
221 	 1336.16 	 0.975 	 237.784
222 	 1347.24 	 0.975 	 238.061
223 	 1355.36 	 0.975 	 238.264
224 	 1358.6 	 0.975 	 238.345
225 	 1372 	 0.977 	 238.396
226 	 1419.91 	 0.978 	 238.247
227 	 1430.82 	 0.978 	 238.487
228 	 1442.82 	 0.978 	 238.751
229 	 1510.1 	 0.979 	 238.771
230 	 1558 	 0.98 	 239.048
231 	 1563.1 	 0.98 	 239.15
232 	 1577.8 	 0.98 	 239.444
233 	 1584.1 	 0.98 	 239.57
234 	 1590 	 0.98 	 239.688
235 	 1533.58 	 0.981 	 239.83
236 	 1530.05 	 0.981 	 239.763
237 	 1537.68 	 0.981 	 239.908
238 	 1507.67 	 0.982 	 240.087
239 	 1513.56 	 0.982 	 240.193
240 	 1506.78 	 0.982 	 240.071
241 	 1515 	 0.982 	 240.219
242 	 1535.89 	 0.982 	 240.595
243 	 1549.22 	 0.982 	 240.835
244 	 1546.78 	 0.982 	 240.791
245 	 1542.89 	 0.982 	 240.721
246 	 1561.89 	 0.982 	 241.063
247 	 1557.56 	 0.982 	 240.985
248 	 1554.11 	 0.982 	 240.923
249 	 1572.44 	 0.982 	 241.253
250 	 1437.5 	 0.984 	 241.083
251 	 1594.29 	 0.986 	 240.989
252 	 1607.46 	 0.987 	 240.771
253 	 1508.33 	 0.988 	 240.656
254 	 1511.67 	 0.988 	 240.696
255 	 1502.67 	 0.988 	 240.588
256 	 1493.67 	 0.988 	 240.48
257 	 1485 	 0.988 	 240.376
258 	 1481 	 0.988 	 240.328
259 	 1475 	 0.988 	 240.256
260 	 1450 	 0.988 	 239.956
261 	 1424.67 	 0.988 	 239.652
262 	 1411 	 0.988 	 239.488
263 	 1429.33 	 0.988 	 239.708
264 	 1454.67 	 0.988 	 240.012
265 	 1475 	 0.988 	 240.256
266 	 1486.67 	 0.988 	 240.396
267 	 1473.09 	 0.989 	 240.78
268 	 1587 	 0.99 	 240.771
269 	 1616.6 	 0.99 	 241.067
270 	 1609.4 	 0.99 	 240.995
271 	 1602.4 	 0.99 	 240.925
272 	 1597.8 	 0.99 	 240.879
273 	 1592.8 	 0.99 	 240.829
