108 	 478.802 	 0.81346 	 191.023	0.00406
109 	 485.373 	 0.81721 	 191.777	0.00375
110 	 491.611 	 0.82095 	 192.489	0.00374
111 	 498.305 	 0.82464 	 193.204	0.00369
112 	 504.707 	 0.82798 	 193.898	0.00334
113 	 510.423 	 0.83156 	 194.543	0.00358
114 	 516.686 	 0.83473 	 195.177	0.00317
115 	 522 	 0.83805 	 195.828	0.00332
116 	 528.412 	 0.84149 	 196.43	0.00344
117 	 534.416 	 0.8447 	 196.967	0.00321
118 	 540.653 	 0.8478 	 197.55	0.0031
119 	 547.144 	 0.85098 	 198.151	0.00318
120 	 554.06 	 0.85417 	 198.701	0.00319
121 	 560.08 	 0.85697 	 199.236	0.0028
122 	 567.493 	 0.8601 	 199.82	0.00313
123 	 573.057 	 0.86286 	 200.317	0.00276
124 	 579.538 	 0.86551 	 200.881	0.00265
125 	 586.518 	 0.86853 	 201.435	0.00302
126 	 593.393 	 0.87107 	 202.013	0.00254
127 	 599.576 	 0.87371 	 202.48	0.00264
128 	 606.274 	 0.87664 	 202.952	0.00293
129 	 612.763 	 0.87899 	 203.447	0.00235
130 	 618.82 	 0.88166 	 203.858	0.00267
131 	 624.55 	 0.88445 	 204.271	0.00279
132 	 631.568 	 0.88695 	 204.685	0.0025
133 	 638.795 	 0.88961 	 205.069	0.00266
134 	 645.411 	 0.89227 	 205.429	0.00266
135 	 652.076 	 0.89444 	 205.828	0.00217
136 	 659.53 	 0.89674 	 206.188	0.0023
137 	 666.161 	 0.89879 	 206.574	0.00205
138 	 672.778 	 0.90098 	 206.919	0.00219
139 	 678.484 	 0.90304 	 207.228	0.00206
140 	 685.29 	 0.90523 	 207.55	0.00219
141 	 691.834 	 0.9071 	 207.858	0.00187
142 	 699.323 	 0.90929 	 208.195	0.00219
143 	 707.099 	 0.91126 	 208.516	0.00197
144 	 714.837 	 0.91313 	 208.812	0.00187
145 	 721.731 	 0.91493 	 209.12	0.0018
146 	 728.01 	 0.91689 	 209.455	0.00196
147 	 734.387 	 0.91843 	 209.811	0.00154
148 	 741.652 	 0.92038 	 210.125	0.00195
149 	 748.263 	 0.92214 	 210.414	0.00176
150 	 756.072 	 0.92379 	 210.701	0.00165
151 	 762.854 	 0.92545 	 210.97	0.00166
152 	 770.928 	 0.92699 	 211.255	0.00154
153 	 777.482 	 0.9284 	 211.527	0.00141
154 	 784.295 	 0.93001 	 211.782	0.00161
155 	 790.574 	 0.93136 	 212.054	0.00135
156 	 797.051 	 0.93279 	 212.291	0.00143
157 	 804.7 	 0.9341 	 212.53	0.00131
158 	 811.618 	 0.9353 	 212.783	0.0012
159 	 818.778 	 0.93689 	 213.007	0.00159
160 	 827.86 	 0.93819 	 213.283	0.0013
161 	 835.505 	 0.93941 	 213.512	0.00122
162 	 842.588 	 0.94053 	 213.737	0.00112
163 	 849.603 	 0.94174 	 213.988	0.00121
164 	 857.266 	 0.94282 	 214.226	0.00108
165 	 864.114 	 0.94409 	 214.484	0.00127
166 	 871.144 	 0.94542 	 214.679	0.00133
167 	 878.205 	 0.94639 	 214.893	0.00097
168 	 882.88 	 0.94731 	 215.047	0.00092
169 	 889.919 	 0.94845 	 215.23	0.00114
170 	 896.479 	 0.94963 	 215.433	0.00118
